
#### RUN: 2018.05.07.13.29.52
Setting                                            Default value     Optimal value  Confidence
----------------------------------------------  ----------------  ----------------  ------------
planner.memory.enable_memory_estimation              0                 0            100.00%
exec.queue.enable                                    0                 0            100.00%
planner.broadcast_factor                             1                 1.5          100.00%
planner.broadcast_threshold                          1e+07             7.5e+06      100.00%
planner.slice_target                              1000              1250            100.00%
planner.width.max_per_query                       1000               750            100.00%
exec.min_hash_table_size                         65536             32768            100.00%
exec.max_hash_table_size                             1.07374e+09       5.36871e+08  100.00%
exec.queue.large                                    10                12.5          100.00%
exec.queue.small                                   100               100            100.00%
exec.queue.threshold                                 3e+07             4.5e+07      100.00%
exec.queue.timeout_millis                       300000            300000            100.00%
planner.memory.max_query_memory_per_node             2.14748e+09       5.36871e+08  100.00%
planner.width.max_per_node                          11                 6            100.00%
planner.add_producer_consumer                        0                 0            100.00%
planner.enable_hashjoin_swap                         1                 0            100.00%
planner.enable_mergejoin                             1                 0            100.00%
planner.filter.max_selectivity_estimate_factor       1                 0.9          97.53%
planner.filter.min_selectivity_estimate_factor       0                 0.2          100.00%
planner.join.hash_join_swap_margin_factor           10                 5            100.00%
planner.join.row_count_estimate_factor               1                 0.5          100.00%
planner.memory.average_field_width                   8                10            100.00%
planner.memory.hash_agg_table_factor                 1.1               1.3          100.00%
planner.memory.hash_join_table_factor                1.1               1.3          100.00%
planner.memory.non_blocking_operators_memory        64                16            100.00%
planner.partitioner_sender_max_threads               8                 6            100.00%
planner.nestedloopjoin_factor                      100                50            100.00%
planner.producer_consumer_queue_size                10                12.5          100.00%
store.text.estimated_row_size_bytes                100               150            100.00%
store.json.all_text_mode                             0                 0            100%
store.json.read_numbers_as_double                    0                 0            100%
